"num","cc","subversion","WI","GE","BR"
"7","AF",1,"","","AFBR70FL.DTA"
"5","AL",1,"","ALGE51FL.shp","ALBR50FL.DTA"
"7","AL",1,"","ALGE71FL.shp","ALBR71FL.DTA"
"4","AM",1,"AMwi42fl.dta","","AMBR42FL.dta"
"5","AM",1,"","","AMBR54FL.dta"
"6","AM",1,"","AMGE61FL.shp","AMBR61FL.DTA"
"7","AM",1,"","AMGE71FL.shp","AMBR72FL.DTA"
"6","AO",1,"","AOGE61FL.shp","AOBR62FL.DTA"
"7","AO",1,"","AOGE71FL.shp","AOBR71FL.DTA"
"5","AO",1,"","AOGE52FL.shp",""
"4","AP",1,"","","APBR42FL.dta"
"4","AR",1,"","","ARBR42FL.dta"
"4","AS",1,"","","ASBR42FL.dta"
"5","AZ",1,"","","AZBR52FL.DTA"
"3","BD",1,"BDWI31FL.DTA","","BDBR31FL.dta"
"3","BD",2,"BDWI3AFL.DTA","","BDBR3AFL.dta"
"4","BD",1,"BDWI41FL.DTA","BDGE42FL.shp","BDBR41FL.dta"
"4","BD",3,"","BDGE4JFL.shp","BDBR4JFL.dta"
"5","BD",1,"","BDGE52FL.shp","BDBR51FL.DTA"
"6","BD",1,"","BDGE61FL.shp","BDBR61FL.DTA"
"7","BD",1,"","BDGE71FL.shp","BDBR72FL.DTA"
"2","BF",1,"BFWI21FL.DTA","BFGE23FL.shp","BFBR21FL.dta"
"3","BF",1,"BFWI31FL.DTA","BFGE32FL.shp","BFBR31FL.dta"
"4","BF",1,"","BFGE43FL.shp","BFBR43FL.dta"
"6","BF",1,"","BFGE61FL.shp","BFBR62FL.DTA"
"7","BF",1,"","BFGE71FL.shp",""
"4","BH",1,"","","BHBR42FL.dta"
"3","BJ",1,"BJWI31FL.DTA","BJGE33FL.shp","BJBR31FL.dta"
"4","BJ",1,"BJWI41FL.DTA","BJGE42FL.shp","BJBR41FL.dta"
"5","BJ",1,"","","BJBR51FL.DTA"
"6","BJ",1,"","BJGE61FL.shp","BJBR61FL.DTA"
"7","BJ",1,"","BJGE71FL.shp","BJBR71FL.DTA"
"0","BO",1,"","","BOBR01FL.dta"
"3","BO",1,"BOWI31FL.DTA","","BOBR31FL.dta"
"3","BO",2,"BOWI3BFL.DTA","","BOBR3BFL.dta"
"4","BO",1,"","","BOBR41FL.dta"
"5","BO",1,"","BOGE53FL.shp","BOBR51FL.DTA"
"0","BR",1,"","","BRBR01FL.dta"
"2","BR",1,"","","BRBR21FL.dta"
"3","BR",1,"BRWI31FL.DTA","","BRBR31FL.dta"
"0","BU",1,"","","BUBR01FL.dta"
"6","BU",1,"","BUGE61FL.shp","BUBR61FL.DTA"
"7","BU",1,"","BUGE71FL.shp","BUBR70FL.DTA"
"6","BU",2,"","BUGE6AFL.shp",""
"5","CD",1,"","CDGE52FL.shp","CDBR50FL.DTA"
"6","CD",1,"","CDGE61FL.shp","CDBR61FL.DTA"
"3","CF",1,"CFWI31FL.DTA","CFGE33FL.shp","CFBR31FL.dta"
"5","CG",1,"","","CGBR51FL.DTA"
"6","CG",1,"","","CGBR60FL.DTA"
"3","CI",1,"CIWI34FL.DTA","CIGE33FL.shp","CIBR35FL.dta"
